,Дата,Блок манифольда|P бм  |кгс/см²,Блок манифольда|t жидкости| °С,С-1|P сеп. |кгс/см²,С-1|t жидкости |°С,С-1|L жидкости| см,С-2|P сеп. |кгс/см²,С-2|t жидкости|°С,С-2|L межфазный|см,С-2|L нефти|см,ОН-1|t жидкости|°С,ОН-1|L межфазный|см,ОН-1|P отс. |кгс/см²,С-3|t жидкости|°С,С-3|L нефти|см,П-1|Т нефти на входе|°С,П-1|Т нефти на выходе|°С,П-1|Р нефти на входе|кгс/см²,П-1|Р нефти на выходе|кгс/см²,П-1|Т теплоно-сителя|°С,П-1|Т дымовых газов|°С,П-1|Р на горелку|кгс/см2,П-2|Т нефти на входе|°С,П-2|Т нефти на выходе|°С,П-2|Р нефти на входе|кгс/см²,П-2|Р нефти на выходе|кгс/см²,П-2|Т теплоно-сителя|°С,П-2|Т дымовых газов|°С,П-2|Р на горелку|кгс/см3,БЕВ-1|L воды|см,БЕВ-1|V воды|м3,БЕВ-1|V нефти,БЕВ-1|t воды,Расход пресной воды,Добыча воды за 2ч,Показания влагомера
0,2022-01-01 00:00:00,5.5,14.0,5.4,14.0,66.0,3,58.0,53.0,73.0,0.8,52.0,53.0,42.0,8.0,13,57.0,3.3,3.1,62,263.8,0.4,14.0,58.0,3.3,3.1,62.0,127.7,0.4,150.0,50.786,0.0,35.0,5.0,0.8578079999999995,0.13
1,2022-01-01 02:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,43.0,8.0,13,58.0,3.3,3.1,62,259.8,0.4,13.0,61.0,3.3,3.1,62.0,129.1,0.4,165.0,57.258,0.0,35.0,5.0,0.3402600000000002,0.15
2,2022-01-01 04:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,43.0,8.0,13,58.0,3.3,3.1,62,266.3,0.4,13.0,61.0,3.3,3.1,62.0,128.7,0.4,177.0,62.391,0.0,35.0,5.0,0.8214639999999997,0.14
3,2022-01-01 06:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,43.0,8.0,13,58.0,3.3,3.1,62,266.4,0.4,13.0,61.0,3.3,3.1,62.0,130.0,0.4,193.0,69.112,0.0,35.0,5.0,0.801514,0.13
4,2022-01-01 08:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,43.0,8.0,13,58.0,3.3,3.1,62,266.4,0.4,13.0,61.0,3.3,3.1,62.0,130.0,0.4,83.0,22.827,0.0,35.0,5.0,0.7902020000000002,0.12
5,2022-01-01 10:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,43.0,8.0,13,58.0,3.3,3.1,62,260,0.4,13.0,61.0,3.3,3.1,62.0,135.0,0.4,102.0,30.403,0.0,35.0,5.0,0.835576,0.1
6,2022-01-01 12:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,43.0,8.0,13,58.0,3.3,3.1,62,260,0.4,13.0,61.0,3.3,3.1,62.0,135.0,0.4,119.0,37.486,0.0,35.0,7.0,0.8123639999999993,0.11
7,2022-01-01 14:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,43.0,8.0,13,58.0,3.3,3.1,62,222,0.4,13.0,61.0,3.3,3.1,62.0,133.0,0.4,140.0,46.468,0.0,35.0,9.0,0.8027740000000003,0.1
8,2022-01-01 16:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,43.0,8.0,13,58.0,3.3,3.1,62,222,0.4,13.0,61.0,3.3,3.1,62.0,133.0,0.4,155.0,52.947,0.0,35.0,9.0,0.820848,0.1
9,2022-01-01 18:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,43.0,8.0,13,58.0,3.3,3.1,62,222,0.4,13.0,61.0,3.3,3.1,62.0,133.0,0.4,173.0,60.687,0.0,35.0,9.0,0.8110759999999999,0.14
10,2022-01-01 20:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,43.0,8.0,13,58.0,3.3,3.1,62,253.2,0.4,13.0,61.0,3.3,3.1,62.0,128.1,0.4,195.0,69.938,0.0,35.0,9.0,0.8139039999999998,0.15
11,2022-01-01 22:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,43.0,8.0,13,58.0,3.3,3.1,62,262,0.4,13.0,61.0,3.3,3.1,62.0,233.0,0.4,169.0,58.975,0.0,35.0,9.5,0.8568140000000003,0.13
12,2022-01-02 00:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,43.0,8.0,13,58.0,3.3,3.1,62,149,0.4,13.0,61.0,3.3,3.1,62.0,217.8,0.4,99.0,29.18,0.0,35.0,8.0,0.7908319999999995,0.15
13,2022-01-02 02:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,131.7,0.4,13.0,61.0,3.3,3.1,62.0,133.4,0.4,119.0,37.486,0.0,35.0,8.0,0.2324959999999998,0.14
14,2022-01-02 04:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,131.7,0.4,13.0,61.0,3.3,3.1,62.0,133.4,0.4,137.0,45.176,0.0,35.0,8.0,0.3440159999999999,0.13
15,2022-01-02 06:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,255.1,0.4,13.0,61.0,3.3,3.1,62.0,125.4,0.4,157.0,53.81,0.0,35.0,8.0,0.3522119999999999,0.14
16,2022-01-02 08:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,138.6,0.4,13.0,61.0,3.3,3.1,62.0,239.2,0.4,174.0,61.114,0.0,35.0,9.0,0.3563280000000002,0.15
17,2022-01-02 10:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,138.6,0.4,13.0,61.0,3.3,3.1,62.0,239.2,0.4,72.0,18.667,0.0,35.0,9.0,0.34515,0.15
18,2022-01-02 12:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,138.6,0.4,13.0,61.0,3.3,3.1,62.0,239.2,0.4,99.0,29.18,0.0,35.0,9.0,0.3424799999999995,0.15
19,2022-01-02 14:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,260.1,0.4,13.0,61.0,3.3,3.1,62.0,125.7,0.4,121.0,38.333,0.0,35.0,9.0,0.337266,0.15
20,2022-01-02 16:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,260.1,0.4,13.0,61.0,3.3,3.1,62.0,125.7,0.4,141.0,46.899,0.0,35.0,9.0,0.3775620000000003,0.15
21,2022-01-02 18:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,260.1,0.4,13.0,61.0,3.3,3.1,62.0,125.7,0.4,163.0,56.397,0.0,35.0,8.0,0.3440219999999996,0.15
22,2022-01-02 20:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,144.6,0.4,13.0,61.0,3.3,3.1,62.0,127.5,0.4,184.0,65.353,0.0,35.0,8.0,0.3582240000000003,0.14
23,2022-01-02 22:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,260.6,0.4,13.0,61.0,3.3,3.1,62.0,128.6,0.4,209.0,75.611,0.0,35.0,8.5,0.3476579999999999,0.13
24,2022-01-03 00:00:00,5.6,13.0,5.2,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,250.6,0.4,13.0,61.0,3.3,3.1,62.0,244.2,0.4,98.0,28.774,0.0,35.0,9.0,0.3467460000000002,0.14
25,2022-01-03 02:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,245.2,0.4,13.0,61.0,3.3,3.1,62.0,127.2,0.4,122.0,38.757,0.0,35.0,9.0,0.3577559999999998,0.15
26,2022-01-03 04:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,165.1,0.4,13.0,61.0,3.3,3.1,62.0,126.7,0.4,144.0,48.194,0.0,35.0,9.0,0.2372039999999999,0.14
27,2022-01-03 06:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,226.7,0.4,13.0,61.0,3.3,3.1,62.0,124.8,0.4,166.0,57.688,0.0,35.0,9.0,0.2396319999999999,0.14
28,2022-01-03 08:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,227,0.4,13.0,61.0,3.3,3.1,62.0,125.0,0.4,88.0,24.777,0.0,35.0,9.0,0.2277080000000002,0.14
29,2022-01-03 10:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,227,0.4,13.0,61.0,3.3,3.1,62.0,125.0,0.4,110.0,33.708,0.0,35.0,8.0,0.2310439999999999,0.12
30,2022-01-03 12:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,227,0.4,13.0,61.0,3.3,3.1,62.0,125.0,0.4,134.0,43.885,0.0,35.0,8.0,0.2316839999999999,0.12
31,2022-01-03 14:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,227,0.4,13.0,61.0,3.3,3.1,62.0,125.0,0.4,158.0,54.242,0.0,35.0,8.3,0.23852,0.15
32,2022-01-03 16:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,227,0.4,13.0,61.0,3.3,3.1,62.0,125.0,0.4,179.0,63.24,0.0,35.0,9.0,0.2238000000000001,0.14
33,2022-01-03 18:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,227,0.4,13.0,61.0,3.3,3.1,62.0,125.0,0.4,108.0,32.877,0.0,35.0,9.0,0.232428,0.14
34,2022-01-03 20:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,180.4,0.4,13.0,61.0,3.3,3.1,62.0,127.0,0.4,131.0,42.598,0.0,35.0,9.0,0.2266759999999998,0.13
35,2022-01-03 22:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,267.8,0.4,13.0,61.0,3.3,3.1,62.0,135.5,0.4,154.0,52.515,0.0,35.0,9.0,0.2307800000000002,0.13
36,2022-01-04 00:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,158.1,0.4,13.0,61.0,3.3,3.1,62.0,198.3,0.4,177.0,62.391,0.0,35.0,9.0,0.237424,0.13
37,2022-01-04 02:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,123.1,0.4,13.0,61.0,3.3,3.1,62.0,207.4,0.4,201.0,72.394,0.0,35.0,9.0,0.3599399999999997,0.15
38,2022-01-04 04:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,251,0.4,13.0,61.0,3.3,3.1,62.0,137.0,0.4,103.0,30.813,0.0,35.0,9.0,0.3417240000000001,0.15
39,2022-01-04 06:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,58.0,3.3,3.1,62,251,0.4,13.0,61.0,3.3,3.1,62.0,137.0,0.4,124.0,39.607,0.0,35.0,9.0,0.3531959999999998,0.15
40,2022-01-04 08:00:00,5.5,13.0,5.3,12.0,65.0,3,57.0,54.0,73.0,1.0,53.0,53.0,44.0,8.0,13,50.0,3.5,3.3,60,225,0.4,13.0,58.0,3.5,3.2,61.0,243.0,0.4,146.0,49.058,0.0,35.0,9.0,0.3489059999999997,0.14
41,2022-01-04 10:00:00,5.5,13.0,5.3,12.0,65.0,3,57.0,54.0,73.0,1.0,53.0,53.0,44.0,8.0,13,58.0,3.5,3.2,60,208,0.4,13.0,52.0,3.4,3.2,60.0,131.0,0.4,168.0,58.546,0.0,35.0,9.0,0.3620580000000002,0.14
42,2022-01-04 12:00:00,5.5,13.0,5.3,12.0,65.0,3,57.0,54.0,73.0,1.0,53.0,53.0,44.0,8.0,13,58.0,3.5,3.2,60,195.8,0.4,13.0,52.0,3.4,3.2,60.0,137.9,0.4,90.0,25.567,0.0,35.0,9.0,0.3598200000000004,0.15
43,2022-01-04 14:00:00,5.6,13.0,5.1,12.0,65.0,3,58.0,54.0,73.0,0.9,54.0,53.0,45.0,9.0,13,60.0,3.6,3.3,63,140,0.4,13.0,58.0,3.7,3.3,62.0,141.0,0.4,114.0,35.38,0.0,35.0,9.0,0.3491399999999998,0.14
44,2022-01-04 16:00:00,5.6,13.0,5.1,12.0,65.0,3,58.0,54.0,73.0,0.9,54.0,53.0,45.0,8.0,13,60.0,3.6,3.3,63,140,0.4,13.0,58.0,3.7,3.3,62.0,141.0,0.4,136.0,44.745,0.0,35.0,9.0,0.3607259999999997,0.14
45,2022-01-04 18:00:00,5.6,13.0,5.1,12.0,65.0,3,58.0,54.0,73.0,0.9,54.0,53.0,45.0,8.0,13,60.0,3.6,3.3,63,257,0.4,13.0,58.0,3.7,3.3,62.0,129.0,0.4,159.0,54.673,0.0,35.0,8.0,0.359346,0.14
46,2022-01-04 20:00:00,5.6,13.0,5.1,12.0,65.0,3,58.0,54.0,73.0,0.9,54.0,53.0,45.0,8.0,13,60.0,3.6,3.3,63,244,0.4,13.0,58.0,3.7,3.3,62.0,140.9,0.4,96.0,27.965,0.0,35.0,8.0,0.3715679999999999,0.14
47,2022-01-04 22:00:00,5.6,13.0,5.1,12.0,65.0,3,58.0,54.0,73.0,0.9,54.0,53.0,45.0,8.0,13,60.0,3.6,3.3,63,262,0.4,13.0,58.0,3.7,3.3,62.0,146.0,0.4,104.0,31.224,0.0,35.0,7.6,0.3536400000000001,0.14
48,2022-01-05 00:00:00,5.6,13.0,5.1,12.0,65.0,3,58.0,54.0,73.0,0.9,54.0,53.0,45.0,8.0,13,60.0,3.6,3.3,63,133,0.4,13.0,58.0,3.7,3.3,62.0,136.0,0.4,126.0,40.459,0.0,35.0,9.0,0.351018,0.13
49,2022-01-05 02:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,59.0,3.3,3.1,62,136,0.4,13.0,60.0,3.3,3.1,62.0,135.0,0.4,151.0,51.219,0.0,35.0,9.0,0.9882240000000014,0.15
50,2022-01-05 04:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,59.0,3.3,3.1,62,168,0.4,13.0,60.0,3.3,3.1,62.0,200.0,0.4,173.0,60.687,0.0,35.0,9.0,0.3356039999999999,0.14
51,2022-01-05 06:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,59.0,3.3,3.1,62,137,0.4,13.0,60.0,3.3,3.1,62.0,250.0,0.4,103.0,30.813,0.0,35.0,9.0,0.3580740000000001,0.14
52,2022-01-05 08:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,59.0,3.3,3.1,62,135,0.4,13.0,60.0,3.3,3.1,62.0,238.0,0.4,123.0,39.182,0.0,35.0,9.0,0.3534900000000001,0.14
53,2022-01-05 10:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,59.0,3.3,3.1,62,127,0.4,13.0,60.0,3.3,3.1,62.0,222.0,0.4,148.0,49.922,0.0,35.0,9.0,0.3523559999999996,0.15
54,2022-01-05 12:00:00,5.6,13.0,5.4,13.0,65.0,3,58.0,54.0,73.0,0.8,55.0,53.0,45.0,8.0,13,59.0,3.3,3.1,62,127,0.4,13.0,60.0,3.3,3.1,62.0,222.0,0.4,167.0,58.117,0.0,35.0,9.0,0.3436620000000003,0.18
