,Место отбора,"Сод. Cl соед., мг/дм3",Дата
0,КСУ БЕН-2,179.4,2022-01-01 04:00:00
1,АСН-6,55.6,2022-01-01 09:00:00
2,КСУ БЕН-6,164.3,2022-01-01 10:00:00
3,АСН-6,63.4,2022-01-01 12:35:00
4,КСУ БЕН-3,138.1,2022-01-01 16:00:00
5,АСН-6,86.4,2022-01-01 19:20:00
6,КСУ БЕН-6,133.6,2022-01-01 20:00:00
7,КСУ БЕН-1,123.5,2022-01-01 22:00:00
8,КСУ БЕН-5,151.1,2022-01-02 04:00:00
9,КСУ БЕН-2,150,2022-01-02 10:00:00
10,АСН-6,90.6,2022-01-02 11:00:00
11,КСУ БЕН-5,131.6,2022-01-02 15:30:00
12,КСУ БЕН-6,117.4,2022-01-02 17:00:00
14,КСУ БЕН-3,122.9,2022-01-02 22:00:00
15,КСУ БЕН-1,101.9,2022-01-03 04:00:00
16,КСУ БЕН-3,125.4,2022-01-03 10:00:00
17,АСН-5,81.9,2022-01-03 13:40:00
18,КСУ БЕН-3,138.4,2022-01-03 17:00:00
19,АСН-5,78.1,2022-01-03 19:10:00
20,КСУ БЕН-6,148.3,2022-01-03 22:00:00
21,АСН-6,62.1,2022-01-04 02:15:00
22,КСУ БЕН-3,82.3,2022-01-04 04:00:00
23,КСУ БЕН-1,115.8,2022-01-04 10:00:00
24,АСН-6,77.3,2022-01-04 15:00:00
25,КСУ БЕН,143,2022-01-04 16:00:00
26,АСН-6,65.5,2022-01-04 18:40:00
27,КСУ БЕН-1,146.8,2022-01-04 22:00:00
28,АСН-6,73.1,2022-01-05 02:05:00
29,КСУ БЕН-5,121.5,2022-01-05 04:00:00
30,КСУ-БЕН-2,114.2,2022-01-05 10:00:00
31,АСН-6,78.8,2022-01-05 13:50:00
32,КСУ БЕН-5,134.5,2022-01-05 16:00:00
33,АСН-6,90.2,2022-01-05 19:00:00
34,КСУ БЕН-3,135.3,2022-01-05 22:00:00
35,КСУ БЕН-6,144.8,2022-01-06 04:00:00
36,АСН-6,52,2022-01-06 04:10:00
37,КСУ БЕН-3,160.5,2022-01-06 10:00:00
38,АСН-6,57.8,2022-01-06 13:20:00
39,КСУ-БЕН-2,169,2022-01-06 16:00:00
40,АСН-6,65.4,2022-01-06 18:15:00
41,КСУ БЕН-6,199.7,2022-01-06 22:00:00
42,КСУ БЕН-2,133,2022-01-07 02:00:00
43,АСН-6,73.4,2022-01-07 02:40:00
44,КСУ БЕН-4,136.7,2022-01-07 04:00:00
45,КСУ БЕН-6,122.8,2022-01-07 10:00:00
46,АСН-6,41.6,2022-01-07 15:00:00
47,КСУ БЕН-4,141.2,2022-01-07 18:00:00
48,КСУ БЕН-1 ,144,2022-01-07 22:00:00
49,АСН-6,46.8,2022-01-08 01:40:00
50,КСУ БЕН-4,117.7,2022-01-08 04:00:00
51,АСН-6,53.8,2022-01-08 04:25:00
52,КСУ БЕН-6,132.7,2022-01-08 09:00:00
53,КСУ БЕН-1 ,142.9,2022-01-08 11:00:00
54,АСН-6,45.1,2022-01-08 13:25:00
55,КСУ-БЕН-5,128.8,2022-01-08 15:30:00
56,АСН-6,58.2,2022-01-08 18:15:00
57,КСУ БЕН-6,123.9,2022-01-08 18:30:00
58,КСУ БЕН-2,142.8,2022-01-08 22:00:00
59,АСН 5,59.9,2022-01-09 03:20:00
60,КСУ БЕН-5,151.2,2022-01-09 04:00:00
61,АСН 5,51.6,2022-01-09 09:30:00
62,КСУ-БЕН-2,153,2022-01-09 10:00:00
63,КСУ-БЕН-6,150.3,2022-01-09 16:00:00
64,КСУ-БЕН-1,136,2022-01-09 17:30:00
65,АСН-5,82.6,2022-01-09 20:25:00
66,КСУ БЕН-5,138.3,2022-01-09 22:00:00
67,АСН-5,66.2,2022-01-10 02:25:00
68,КСУ БЕН-2,141.6,2022-01-10 04:00:00
69,КСУ БЕН-5,169.1,2022-01-10 10:00:00
70,АСН-5,83.5,2022-01-10 11:10:00
71,КСУ БЕН-5,180.3,2022-01-10 16:00:00
72,АСН-5,75.3,2022-01-10 18:45:00
73,АСН-5,99.6,2022-01-11 03:30:00
74,КСУ БЕН-5,189,2022-01-11 04:00:00
75,КСУ-БЕН-2,131.6,2022-01-11 10:00:00
76,АСН-5,76.9,2022-01-11 13:30:00
77,КСУ-БЕН-6,149.9,2022-01-11 16:00:00
78,АСН-5 ,79.3,2022-01-11 19:00:00
79,КСУ БЕН-3,206.8,2022-01-11 22:00:00
80,АСН-5,37,2022-01-12 03:40:00
81,КСУ БЕН-5,165.1,2022-01-12 04:00:00
82,КСУ БЕН-5,211.9,2022-01-12 10:00:00
83,АСН-5,87,2022-01-12 13:00:00
84,КСУ-БЕН-2,215.6,2022-01-12 16:00:00
85,АСН-5,97.2,2022-01-12 18:40:00
86,КСУ БЕН-6,155.5,2022-01-12 22:00:00
87,КСУ БЕН-1,142.7,2022-01-13 00:00:00
88,АСН-5,78.5,2022-01-13 02:35:00
89,КСУ БЕН-3,143.7,2022-01-13 04:00:00
90,КСУ-БЕН-5,169.8,2022-01-13 06:00:00
91,АСН-5,77.7,2022-01-13 08:50:00
92,КСУ-БЕН-1,94.6,2022-01-13 10:00:00
93,КСУ-БЕН-5,217.5,2022-01-13 16:00:00
94,АСН-5,65.7,2022-01-13 20:35:00
95,КСУ БЕН-3,176.1,2022-01-13 22:00:00
96,АСН-5,62.4,2022-01-15 03:35:00
97,Ксу БЕН-6,194.3,2022-01-15 04:00:00
98,Ксу-БЕН-5,221.9,2022-01-15 11:40:00
99,АСН-5,81,2022-01-15 13:00:00
100,КСУ БЕН-2,241,2022-01-15 16:00:00
101,АСН-5,84.9,2022-01-15 18:35:00
102,Ксу БЕН-6,216.9,2022-01-15 22:00:00
103,КСУ БЕН-6,182.5,2022-01-16 04:00:00
104,АСН-5,71.1,2022-01-16 04:15:00
105,АСН-5,64.4,2022-01-16 09:40:00
106,КСУ-БЕН-3,197.1,2022-01-16 10:00:00
107,КСУ-Бен-1,207.6,2022-01-16 16:00:00
108,КСУ-БЕН-3,156.7,2022-01-16 19:00:00
109,АСН-5,76.4,2022-01-16 19:20:00
110,КСУ БЕН-5,205.4,2022-01-16 22:00:00
