,Место отбора проб,"Сод. Cl соед., мг/дм3",Дата
0,АСН-2,81,2022-01-01 00:50:00
1,КСУ-БЕН-1,117.4,2022-01-01 04:00:00
2,АСН-2,67.8,2022-01-01 04:10:00
3,БМ,1539.8,2022-01-01 06:00:00
4,АСН-3,80.2,2022-01-01 08:15:00
5,КСУ-БЕН9,103.9,2022-01-01 10:00:00
6,АСН-3,57.8,2022-01-01 14:30:00
7,БМ,2430.5,2022-01-01 18:00:00
9,АСН 1-6,71.3,2022-01-01 22:00:00
10,КСУ-СУТ,34.4,2022-01-01 23:00:00
12,АСН-3,47.3,2022-01-02 00:55:00
13,АСН-3,60,2022-01-02 02:30:00
14,КСУ-БЕН-6,108,2022-01-02 04:00:00
15,БМ,1016.2,2022-01-02 06:00:00
16,АСН-2,52.4,2022-01-02 08:40:00
17,КСУ-БЕН-3,111.3,2022-01-02 10:00:00
18,КСУ-БЕН-7,128,2022-01-02 13:00:00
19,БМ,952.5,2022-01-02 18:00:00
20,КСУ-БЕН-7,114.6,2022-01-02 20:00:00
21,КСУ-БЕН-8,91.6,2022-01-02 21:00:00
22,КСУ-БЕН-9,70.9,2022-01-02 22:00:00
23,АСН 1-6,54.6,2022-01-02 22:20:00
25,КСУ СУТ,48.7,2022-01-02 23:00:00
26,АСН-2,55.5,2022-01-03 01:25:00
27,КСУ-БЕН-8,89.1,2022-01-03 04:00:00
29,БМ,881.7,2022-01-03 06:00:00
30,АСН-3,36.7,2022-01-03 06:30:00
31,КСУ БЕН-6,58.9,2022-01-03 08:00:00
32,АСН-1,64.1,2022-01-03 08:15:00
33,КСУ БЕН-8,65.8,2022-01-03 09:00:00
34,КСУ БЕН-9,65.3,2022-01-03 10:00:00
35,КСУ-БЕН-1,72.9,2022-01-03 11:00:00
36,КСУ БЕН-3,75.5,2022-01-03 12:00:00
37,КСУ БЕН-3,84.8,2022-01-03 13:00:00
38,КСУ БЕН-6,84.9,2022-01-03 14:00:00
39,АСН-1,54.4,2022-01-03 14:15:00
40,КСУ БЕН-7,86,2022-01-03 15:00:00
41,КСУ БЕН-8,118.9,2022-01-03 16:00:00
42,АСН-1,58.9,2022-01-03 16:10:00
43,БМ,987,2022-01-03 17:00:00
44,КСУ-БЕН-1,78.8,2022-01-03 18:00:00
45,КСУ-БЕН-3,82.4,2022-01-03 19:00:00
46,КСУ-БЕН-4,83.6,2022-01-03 20:00:00
48,КСУ БЕН-7,89,2022-01-03 22:00:00
50,КСУ СУТ,46.4,2022-01-03 23:00:00
51,АСН-1,76.4,2022-01-04 00:50:00
52,АСН-1,40.9,2022-01-04 02:05:00
53,КСУ-БЕН-6,56.7,2022-01-04 04:00:00
54,БМ,967.4,2022-01-04 06:00:00
55,АСН-3,80.6,2022-01-04 08:20:00
56,КСУ-БЕН-2,81.4,2022-01-04 09:00:00
57,КСУ-БЕН-3,79.9,2022-01-04 10:00:00
58,АСН-3,48.1,2022-01-04 14:10:00
59,КСУ-БЕН-1,104.8,2022-01-04 16:00:00
60,БМ,1426.1,2022-01-04 18:00:00
62,АСН 1-6,80.68,2022-01-04 22:00:00
64,КСУ СУТ,71.1,2022-01-04 23:40:00
65,АСН-2,57.3,2022-01-05 01:40:00
66,КСУ-БЕН-9,93.3,2022-01-05 04:00:00
67,БМ,1002.2,2022-01-05 06:00:00
68,АСН-2,61.8,2022-01-05 08:10:00
69,КСУ БЕН-8,56.5,2022-01-05 10:00:00
70,АСН-2,43.6,2022-01-05 13:30:00
71,КСУ БЕН-8,93.6,2022-01-05 16:00:00
72,БМ,1975.4,2022-01-05 18:00:00
74,АСН 1-6,79.8,2022-01-05 22:00:00
76,КСУ СУТ,38.4,2022-01-05 23:30:00
77,АСН-3,73.1,2022-01-06 00:50:00
78,КСУ-БЕН-2,147.8,2022-01-06 02:00:00
79,АСН-2,45.4,2022-01-06 03:35:00
80,КСУ-БЕН-4,105.6,2022-01-06 04:00:00
81,БМ,2404.8,2022-01-06 06:00:00
82,КСУ БЕН-1,103.7,2022-01-06 08:00:00
83,АСН-2,57.3,2022-01-06 08:15:00
84,КСУ БЕН-6,207.5,2022-01-06 11:00:00
85,КСУ БЕН-8,232,2022-01-06 13:00:00
86,АСН-2,32.4,2022-01-06 14:10:00
87,КСУ БЕН-1,105.5,2022-01-06 15:00:00
88,КСУ БЕН-4,179.1,2022-01-06 17:00:00
89,БМ,1986.6,2022-01-06 18:00:00
91,КСУ-БЕН-2,119.5,2022-01-06 22:00:00
92,КСУ СУТ,46.2,2022-01-06 23:00:00
93,АСН-2,66.5,2022-01-07 00:32:00
94,КСУ-БЕН-1,50,2022-01-07 04:00:00
95,БМ,1459.5,2022-01-07 06:00:00
96,АСН-2,25.1,2022-01-07 08:30:00
97,КСУ-БЕН3,57,2022-01-07 10:00:00
98,АСН-3,38.8,2022-01-07 14:10:00
99,КСУ БЕН-3,72.3,2022-01-07 16:00:00
100,БМ,3109.1,2022-01-07 18:00:00
102,АСН 1-6,46.1,2022-01-07 22:00:00
104,КСУ СУТ,42.8,2022-01-07 23:00:00
105,АСН-2,48,2022-01-08 00:10:00
106,КСУ-БЕН-4,70.5,2022-01-08 04:00:00
107,БМ,2211,2022-01-08 06:00:00
108,КСУ-БЕН-6,76,2022-01-08 10:00:00
109,АСН-3,36.6,2022-01-08 11:14:00
110,КСУ  БЕН-6,87.9,2022-01-08 16:00:00
111,БМ,1216,2022-01-08 18:00:00
112,КСУ  БЕН-2,72.3,2022-01-08 20:00:00
114,КСУ  БЕН-3,84.1,2022-01-08 22:00:00
116,КСУ СУТ,70.3,2022-01-08 00:00:00
117,КСУ СУТ,70.3,2022-01-08 23:00:00
118,АСН-3,27.5,2022-01-09 00:30:00
119,АСН-2,38.8,2022-01-09 02:35:00
120,КСУ-БЕН-3,81.2,2022-01-09 04:00:00
121,БМ,1604.1,2022-01-09 06:00:00
122,АСН-2,46.8,2022-01-09 07:35:00
123,КСУ БЕН-2,90.3,2022-01-09 10:00:00
124,АСН-3,69.2,2022-01-09 15:10:00
125,КСУ БЕН-1,112.3,2022-01-09 16:00:00
126,БМ,1113.6,2022-01-09 18:00:00
128,АСН 1-6,65.2,2022-01-09 22:00:00
130,КСУ СУТ,80.2,2022-01-09 23:00:00
131,АСН-2,67,2022-01-10 00:55:00
132,КСУ-БЕН-8,101.5,2022-01-10 04:00:00
133,БМ,845.1,2022-01-10 06:00:00
134,АСН-3,39,2022-01-10 08:20:00
135,КСУ БЕН-6,80.2,2022-01-10 10:00:00
136,КСУ БЕН-6,91.3,2022-01-10 16:00:00
137,АСН-3,37.2,2022-01-10 16:15:00
138,БМ,1231.8,2022-01-10 18:00:00
140,АСН 1-6,66.6,2022-01-10 22:00:00
142,КСУ СУТ,85.8,2022-01-10 23:00:00
143,АСН-3,66.3,2022-01-11 00:25:00
144,КСУ-БЕН-3,96,2022-01-11 04:00:00
145,БМ,2714.8,2022-01-11 06:00:00
146,АСН-2,41.4,2022-01-11 07:30:00
147,КСУ БЕН-2,139.7,2022-01-11 10:00:00
148,АСН-3,59.8,2022-01-11 14:15:00
149,КСУ БЕН-1,94.7,2022-01-11 16:00:00
150,БМ,1760.8,2022-01-11 18:00:00
152,КСУ БЕН-9,118.1,2022-01-11 22:00:00
154,БМ,1449.4,2022-01-11 00:00:00
155,КСУ СУТ,49.4,2022-01-11 23:00:00
156,БМ,1449.4,2022-01-12 00:00:00
157,АСН-2,52.7,2022-01-12 00:10:00
158,КСУ-БЕН-8,94.9,2022-01-12 04:00:00
159,БМ,1325.7,2022-01-12 06:00:00
160,АСН-2,56.5,2022-01-12 09:05:00
161,КСУ БЕН-7,146.9,2022-01-12 10:00:00
162,АСН-3,45.8,2022-01-12 14:20:00
163,КСУ БЕН-3,109.7,2022-01-12 15:00:00
164,КСУ БЕН-6,135.6,2022-01-12 16:00:00
165,БМ,1240.4,2022-01-12 18:00:00
167,АСН 1-6,63.6,2022-01-12 22:00:00
169,КСУ СУТ,56.1,2022-01-12 23:00:00
170,АСН-3,35.8,2022-01-13 00:10:00
171,КСУ-БЕН-8,148.7,2022-01-13 01:00:00
172,АСН-2,70,2022-01-13 02:55:00
173,КСУ-БЕН-2,125.3,2022-01-13 04:00:00
175,КСУ-БЕН-6,149.3,2022-01-13 06:00:00
176,АСН-3,99.7,2022-01-13 08:20:00
177,КСУ БЕН-1,147.6,2022-01-13 09:00:00
178,КСУ БЕН-2,56.9,2022-01-13 10:00:00
179,АСН-2,90.6,2022-01-13 14:50:00
180,КСУ БЕН-9,154.7,2022-01-13 16:00:00
181,БМ,1770.3,2022-01-13 18:00:00
183,АСН 1-6,94.3,2022-01-13 22:00:00
185,КСУ СУТ,53.4,2022-01-13 23:00:00
186,АСН-2,70,2022-01-15 00:15:00
187,КСУ-БЕН-7,151,2022-01-15 04:00:00
188,БМ,1532.1,2022-01-15 06:00:00
189,АСН-3,55.4,2022-01-15 08:15:00
190,КСУ-БЕН-6,147.7,2022-01-15 10:00:00
191,АСН-2,73.1,2022-01-15 13:00:00
192,КСУ БЕН-4,125,2022-01-15 16:00:00
193,БМ,1077,2022-01-15 18:00:00
195,КСУ БЕН-3,91.2,2022-01-15 22:00:00
196,КСУ СУТ,49.7,2022-01-15 23:00:00
197,АСН-3,51,2022-01-16 01:00:00
198,КСУ-БЕН-6,120,2022-01-16 04:00:00
199,БМ,672.2,2022-01-16 06:00:00
200,АСН-3,34.7,2022-01-16 08:10:00
201,КСУ БЕН-3,110.3,2022-01-16 10:00:00
202,АСН-3,52.7,2022-01-16 14:15:00
203,КСУ БЕН-2,125.7,2022-01-16 16:00:00
204,КСУ БЕН-3,106.3,2022-01-16 17:00:00
205,БМ,1755.7,2022-01-16 18:00:00
206,КСУ-БЕН-6,165.2,2022-01-16 19:00:00
207,КСУ-БЕН-8,170.6,2022-01-16 20:30:00
209,АСН 1-6,100.7,2022-01-16 22:00:00
211,КСУ СУТ,84.4,2022-01-16 23:00:00
212,КСУ БЕН-2,87,2022-01-17 00:00:00
213,АСН-3,71.4,2022-01-17 00:20:00
214,КСУ БЕН-8,90,2022-01-17 04:00:00
215,БМ,1400.4,2022-01-17 06:00:00
216,АСН-1,18.9,2022-01-17 08:30:00
217,КСУ БЕН-6,116.2,2022-01-17 10:00:00
218,КСУ БЕН-4,145.1,2022-01-17 16:00:00
219,АСН-2,40.2,2022-01-17 16:30:00
220,БМ ,1658.6,2022-01-17 18:00:00
222,АСН 1-6,43.7,2022-01-17 22:00:00
224,КСУ СУТ,46.2,2022-01-17 23:00:00
225,АСН-2,47.7,2022-01-18 02:40:00
226,КСУ-БЕН-1,107.7,2022-01-18 04:00:00
227,БМ ,1386.1,2022-01-18 06:00:00
228,КУС БЕН-9,108.8,2022-01-18 10:00:00
229,АСН-2,36.2,2022-01-18 10:45:00
230,КСУ БЕН-7 ,83,2022-01-18 16:00:00
231,АСН-2,60,2022-01-18 16:40:00
232,БМ ,1309.4,2022-01-18 18:00:00
234,КСУ БЕН-6 ,103.8,2022-01-18 22:00:00
236,КСУ СУТ,44.2,2022-01-18 23:00:00
237,АСН-1,53.3,2022-01-19 03:00:00
238,КСУ-БЕН-4,127.5,2022-01-19 04:00:00
239,БМ,1267.9,2022-01-19 06:00:00
240,АСН-2,41.2,2022-01-19 08:10:00
241,КСУ БЕН-3,145.1,2022-01-19 10:00:00
242,КСУ БЕН-1,140.2,2022-01-19 16:00:00
243,БМ,2202,2022-01-19 17:20:00
244,АСН-2,37.4,2022-01-19 17:25:00
245,КСУ БЕН-3,115.1,2022-01-19 17:30:00
247,КСУ БЕН-9,122.7,2022-01-19 22:00:00
249,КСУ СУТ,71.3,2022-01-19 23:00:00
250,БМ,5680,2022-01-20 00:25:00
251,АСН-2,74.2,2022-01-20 01:15:00
252,КСУ-БЕН-6,218.7,2022-01-20 01:30:00
253,БМ,1011.8,2022-01-20 02:00:00
254,АСН-2,83.6,2022-01-20 02:40:00
255,БМ,1398.3,2022-01-20 03:00:00
256,КСУ БЕН-9,71.7,2022-01-20 03:15:00
257,КСУ БЕН-2,111.2,2022-01-20 05:00:00
258,БМ,2924.8,2022-01-20 06:00:00
259,КСУ БЕН-9,138.5,2022-01-20 10:00:00
260,АСН-2,61.8,2022-01-20 10:30:00
261,КСУ БЕН-9,120.6,2022-01-20 16:00:00
262,АСН-1,41.2,2022-01-20 16:20:00
263,БМ,2099.1,2022-01-20 18:00:00
265,АСН 1-6,53.2,2022-01-20 22:00:00
267,КСУ СУТ,68.1,2022-01-20 23:00:00
268,АСН-2,63.6,2022-01-21 02:30:00
269,КСУ-БЕН-8,130,2022-01-21 04:00:00
270,БМ,1455.5,2022-01-21 06:00:00
271,КСУ БЕН-7,123.6,2022-01-21 10:00:00
272,АСН-1,34.2,2022-01-21 10:20:00
273,АСН-1,36.2,2022-01-21 14:30:00
274,КСУ БЕН-6,159.9,2022-01-21 16:00:00
275,БМ,1559,2022-01-21 18:00:00
277,АСН 1-6,54.2,2022-01-21 22:00:00
279,КСУ СУТ,55,2022-01-21 23:00:00
280,АСН-2,64.8,2022-01-22 02:30:00
281,КСУ-БЕН-6,105.4,2022-01-22 04:00:00
282,БМ,2100.9,2022-01-22 06:00:00
283,АСН-1,63.8,2022-01-22 09:30:00
284,КСУ БЕН-4,125.6,2022-01-22 10:00:00
285,АСН-2,62.1,2022-01-22 14:50:00
286,КСУ БЕН-4,144.5,2022-01-22 16:00:00
287,БМ,1410.1,2022-01-22 18:00:00
289,АСН 1-6,66.7,2022-01-22 22:00:00
291,КСУ СУТ,88.5,2022-01-22 23:00:00
292,АСН-1,47,2022-01-23 00:20:00
293,КСУ-БЕН-3,123.3,2022-01-23 04:00:00
294,БМ,1467.1,2022-01-23 06:00:00
295,АСН-1,50.9,2022-01-23 08:15:00
296,КСУ БЕН-2,119.8,2022-01-23 10:00:00
297,АСН-1,51.9,2022-01-23 14:15:00
298,КСУ БЕН-1,136.1,2022-01-23 16:00:00
299,БМ,859.3,2022-01-23 18:00:00
301,АСН 1-6,59.7,2022-01-23 22:00:00
303,КСУ СУТ,44.3,2022-01-23 23:00:00
304,АСН-1,79.3,2022-01-24 00:15:00
305,КСУ БЕН-8,152.7,2022-01-24 04:00:00
306,БМ,2513.6,2022-01-24 06:00:00
307,АСН-2,66.2,2022-01-24 08:25:00
308,КСУ БЕН-7,205.4,2022-01-24 10:00:00
309,АСН-2,45.6,2022-01-24 11:05:00
310,КСУ БЕН-1,158.8,2022-01-24 12:00:00
311,АСН-1,52.8,2022-01-24 14:25:00
312,КСУ БЕН-6,142.4,2022-01-24 16:00:00
313,БМ ,1742.9,2022-01-24 18:00:00
314,БМ,1273.2,2022-01-24 20:00:00
316,АСН 1-6,85.9,2022-01-24 22:00:00
318,КСУ СУТ,82.2,2022-01-24 23:00:00
319,АСН-1,54,2022-01-25 02:10:00
320,КСУ-БЕН-7,87.5,2022-01-25 04:00:00
321,БМ,516.8,2022-01-25 06:00:00
322,АСН-1,31.9,2022-01-25 08:10:00
323,КСУ БЕН-7,75.8,2022-01-25 10:00:00
324,АСН-1,30.3,2022-01-25 10:10:00
325,АСН-2,49.5,2022-01-25 14:25:00
326,КСУ БЕН-6,89.2,2022-01-25 16:00:00
327,БМ,1120.4,2022-01-25 18:00:00
329,АСН 1-6,40.4,2022-01-25 22:00:00
331,КСУ СУТ,66.7,2022-01-25 23:00:00
332,АСН-2,32,2022-01-26 00:40:00
333,КСУ-БЕН-3,126.3,2022-01-26 04:00:00
334,БМ,2519.7,2022-01-26 06:00:00
335,АСН-1,46.3,2022-01-26 09:05:00
336,КСУ БЕН-2,102.8,2022-01-26 10:00:00
337,АСН-1,38.9,2022-01-26 13:25:00
338,КСУ БЕН -1,113.2,2022-01-26 16:00:00
339,БМ,1588.2,2022-01-26 18:00:00
341,АСН 1-6,58.1,2022-01-26 22:00:00
343,КСУ СУТ,63.3,2022-01-26 23:00:00
344,АСН-1,80.2,2022-01-27 02:30:00
345,КСУ-БЕН-8,117.3,2022-01-27 04:00:00
346,БМ,1342.3,2022-01-27 06:00:00
347,АСН-2,42.7,2022-01-27 08:10:00
348,КСУ БЕН-7,117.5,2022-01-27 10:00:00
349,АСН-1,54.5,2022-01-27 10:15:00
350,АСН-2,48.9,2022-01-27 14:50:00
351,КСУ БЕН-6,127.4,2022-01-27 16:00:00
352,БМ,544.3,2022-01-27 18:00:00
354,АСН 1-6,33,2022-01-27 22:00:00
356,КСУ СУТ,38.3,2022-01-27 23:00:00
357,АСН 1-6,49.7,2022-01-28 02:30:00
358,КСУ-БЕН-3,123.1,2022-01-28 04:00:00
359,БМ,1835.8,2022-01-28 06:00:00
360,АСН-2,37,2022-01-28 09:15:00
361,КСУ БЕН -2,108.5,2022-01-28 10:00:00
362,АСН-3,44.4,2022-01-28 15:05:00
