Date,BlockP,BlockT,C1P,C1T,C1L,C2P,C2T,C2interfacial_L,С2petrol_L,OH_T,OH_interfacial_L,OH_P,C3T,C3L,P1Tinput,P1Toutput,P1Pinput,P1Poutput,P1Тcoolant,P1Tgases,P1Рburner,P2Tinput,P2Toutput,P2Pinput,P2Poutput,P2Tcoolant,P2Tgases,P2Pburner,Water,Vlagomer,BEV1L,BEV1V_water,BEV1V_petrol,BEV1T_water
2022-01-01 00:00:00,0.3478261,0.125,0.4117648,0.25,0.2605042,0.6122449,0.9285714,0.34999996,0.4,0.25,0.7857143,0.6153846,0.86956525,0.33333337,0.33678758,0.91492784,0.55,0.62,0.40789473,0.9734316,0.99999994,0.3617571,0.86567163,0.57894737,0.632653,0.507365,0.4800752,1.0,0.34129667,0.13,,,,
2022-01-01 02:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,0.9130435,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.95867145,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.48533842,1.0,0.30156216,0.15,,,,
2022-01-01 04:00:00,0.3913043,0.0,0.29411763,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,0.9130435,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.9826567,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.48383462,1.0,0.32656085,0.14,,,,
2022-01-01 06:00:00,0.3913043,0.0,0.29411763,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,0.9130435,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.98302567,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.48872185,1.0,0.31847206,0.13,,,,
2022-01-01 08:00:00,0.3913043,0.0,0.29411763,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,0.9130435,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.98302567,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.48872185,1.0,0.31388554,0.12,,,,
2022-01-01 10:00:00,0.3913043,0.0,0.29411763,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,0.9130435,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.9594095,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.5075188,1.0,0.3322826,0.1,,,,
2022-01-01 12:00:00,0.3913043,0.0,0.29411763,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,0.9130435,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.9594095,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.5075188,1.0,0.3228712,0.11,,,,
2022-01-01 14:00:00,0.3913043,0.0,0.29411763,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,0.9130435,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.8191881,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.50000006,1.0,0.31898293,0.1,,,,
2022-01-01 16:00:00,0.3913043,0.0,0.29411763,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,0.9130435,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.8191881,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.50000006,1.0,0.32631108,0.1,,,,
2022-01-01 18:00:00,0.3913043,0.0,0.29411763,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,0.9130435,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.8191881,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.50000006,1.0,0.32234898,0.14,,,,
