,Дата,Блок манифольда|P бм  |кгс/см²,Блок манифольда|t жидкости| °С,С-1/1|P сеп. |кгс/см²,С-1/1|t жидкости |°С,С-1/1|L жидкости| см,С-1/2|P сеп. |кгс/см²,С-1/2|t жидкости |°С,С-1/2|L жидкости| см,С-2/1|P сеп. |кгс/см²,С-2/1|t жидкости|°С,С-2/1|L межфазный|см,С-2/1|L нефти|см,С-2/2|P сеп. |кгс/см²,С-2/2|t жидкости|°С,С-2/2|L межфазный|см,С-2/2|L нефти|см,ОН-1/1|P отс. |кгс/см²,ОН-1/1|t жидкости|°С,ОН-1/1|L межфазный|см,ОН-1/2|P отс. |кгс/см²,ОН-1/2|t жидкости|°С,ОН-1/2|L  межфазный|см,С-3/1|t жидкости|°С,С-3/1|L нефти|см,С-3/2|t жидкости|°С,С-3/2|L нефти|см,П-1|Т нефти на входе|°С,П-1|Т нефти на выходе|°С,П-1|Р нефти на входе|кгс/см²,П-1|Р нефти на выходе|кгс/см²,П-1|Т теплоно-сителя|°С,П-1|Т дымовых газов|°С,П-1|Р на горелку|кгс/см2,П-2|Т нефти на входе|°С,П-2|Т нефти на выходе|°С,П-2|Р нефти на входе|кгс/см²,П-2|Р нефти на выходе|кгс/см²,П-2|Т теплоно-сителя|°С,П-2|Т дымовых газов|°С,П-2|Р на горелку|кгс/см3,П-3|Т нефти на входе|°С,П-3|Т нефти на выходе|°С,П-3|Р нефти на входе|кгс/см²,П-3|Р нефти на выходе|кгс/см²,П-3|Т теплоно-сителя|°С,П-3|Т дымовых газов|°С,П-3|Р на горелку|кгс/см4,Добыча воды за 2 ч,"Добыча воды за 2 ч, расч","Добыча воды за 2 ч, расч, по ТОРам",Показания влагомера,Расход пресной воды
0,2024-03-01 00:00:00,9.8,16.0,9.5,13.0,61.0,9.5,16.0,62.0,4.2,50.0,67.0,74.0,4.2,49.0,70.0,71.0,2.4,47.0,70.0,2.4,42.0,71.0,53.0,78.0,35.0,50.0,24.9,50.4,6.2,5.1,62.3,121.5,0.27,24.8,54.0,6.2,5.2,61.9,116.9,0.3,25.6,54.7,6.2,5.1,60.2,108.0,0.23,28.886365000000023,23.179,22.519000000000005,0.18,6.5
1,2024-03-01 02:00:00,9.7,16.0,9.3,13.0,60.0,9.3,16.0,63.0,4.2,50.0,71.0,72.0,4.2,49.0,72.0,74.0,2.3,45.0,71.0,2.3,42.0,70.0,53.0,79.0,35.0,49.0,24.0,49.8,6.2,5.1,62.3,124.6,0.27,23.9,51.5,6.2,5.2,59.7,224.8,0.3,24.7,57.4,6.2,5.1,63.8,170.9,0.23,26.08905000000006,24.32999999999999,22.49,0.15,6.5
2,2024-03-01 04:00:00,9.8,16.0,9.5,13.0,61.0,9.5,16.0,61.0,4.1,50.0,70.0,71.0,4.1,49.0,69.0,72.0,2.4,47.0,70.0,2.4,42.0,71.0,53.0,77.0,35.0,50.0,24.2,52.2,6.2,5.1,64.4,124.6,0.27,24.2,52.0,6.2,5.2,59.6,196.0,0.3,25.0,55.6,6.2,5.1,61.2,117.0,0.23,24.578769999999963,18.208,17.538000000000004,0.19,6.5
3,2024-03-01 06:00:00,9.8,16.0,9.4,13.0,60.0,9.5,16.0,62.0,4.2,49.0,69.0,73.0,4.2,49.0,71.0,75.0,2.3,45.0,71.0,2.3,43.0,70.0,53.0,78.0,35.0,49.0,24.6,52.7,6.2,5.1,64.7,261.7,0.27,24.3,54.5,6.2,5.2,61.9,290.2,0.3,25.1,58.5,6.2,5.1,63.6,328.6,0.23,26.21195999999998,21.11400000000002,19.444000000000003,0.21,6.4
4,2024-03-01 08:00:00,9.7,16.0,9.4,13.0,62.0,9.4,16.0,61.0,4.2,50.0,71.0,74.0,4.2,49.0,71.0,74.0,2.3,47.0,69.0,2.4,43.0,71.0,53.0,75.0,35.0,47.0,24.9,50.1,6.2,5.1,61.6,116.4,0.27,24.8,54.8,6.2,5.2,62.4,124.1,0.3,25.6,59.1,6.2,5.1,63.8,329.8,0.23,25.87884499999999,18.93400000000002,17.504000000000012,0.24,6.4
5,2024-03-01 10:00:00,9.7,16.0,9.5,13.0,63.0,9.4,16.0,62.0,4.2,50.0,69.0,72.0,4.2,49.0,69.0,72.0,2.2,47.0,69.0,2.2,44.0,70.0,53.0,78.0,35.0,48.0,25.6,54.2,6.2,5.1,64.9,276.4,0.27,25.5,55.1,6.2,5.2,61.9,120.0,0.3,27.1,55.6,6.2,5.1,60.2,107.5,0.23,25.59681500000009,11.81399999999998,11.313999999999991,0.23,6.4
6,2024-03-01 12:00:00,9.8,16.0,9.5,13.0,59.0,9.6,17.0,61.0,4.2,49.0,71.0,72.0,4.2,49.0,69.0,75.0,2.4,47.0,69.0,2.4,42.0,70.0,53.0,81.0,37.0,52.0,24.1,53.1,6.2,5.1,63.8,342.4,0.27,23.6,52.6,6.2,5.2,60.4,112.1,0.3,27.4,59.1,6.2,5.1,64.6,202.7,0.23,25.525159999999943,37.09800000000001,35.608000000000025,0.19,6.4
7,2024-03-01 14:00:00,9.7,16.0,9.6,14.0,62.0,9.6,17.0,61.0,4.2,49.0,71.0,72.0,4.2,49.0,69.0,75.0,2.4,47.0,69.0,2.4,42.0,70.0,53.0,76.0,38.0,49.0,25.3,52.4,6.2,5.1,63.3,132.7,0.27,25.4,55.7,6.2,5.2,62.3,121.1,0.3,28.4,59.5,6.2,5.1,64.9,153.2,0.23,24.271155000000007,11.230000000000004,11.009999999999994,0.12,6.4
8,2024-03-01 16:00:00,9.6,16.0,9.4,14.0,63.0,9.4,17.0,62.0,4.2,51.0,70.0,73.0,4.2,49.0,70.0,71.0,2.3,47.0,71.0,2.4,43.0,70.0,54.0,77.0,38.0,51.0,25.3,53.8,6.2,5.1,64.6,246.0,0.27,25.1,54.9,6.2,5.2,62.1,117.1,0.3,27.9,56.4,6.2,5.1,61.4,114.5,0.23,23.409000000000063,25.894999999999985,24.33499999999999,0.12,6.4
9,2024-03-01 18:00:00,9.6,16.0,9.3,14.0,64.0,9.4,17.0,62.0,4.1,50.0,72.0,70.0,4.1,49.0,70.0,70.0,2.4,50.0,69.0,2.4,43.0,70.0,53.0,75.0,36.0,50.0,24.4,50.2,6.2,5.1,61.7,114.6,0.27,24.3,54.0,6.2,5.2,61.6,113.2,0.3,25.8,59.4,6.2,5.1,63.8,324.9,0.23,23.858989999999995,21.977000000000015,20.367000000000026,0.15,6.4
