,Дата,Место сбора,"Сод. Cl соед., мг/дм3"
0,2024-03-01 00:30:00,АСН-2,30.4
1,2024-03-01 01:00:00,ЭДГ1/2,42.6
2,2024-03-01 01:00:00,КСУ,452.1
3,2024-03-01 04:00:00,ЭДГ1/1,48.5
4,2024-03-01 04:00:00,КСУ,406.9
5,2024-03-01 05:00:00,БМ,11240.2
6,2024-03-01 07:00:00,ЭДГ1/2,52.7
7,2024-03-01 07:00:00,КСУ,269.5
8,2024-03-01 07:05:00,АСН -1,57.4
9,2024-03-01 10:00:00,ЭДГ1/1,45.7
10,2024-03-01 10:00:00,КСУ,433.6
11,2024-03-01 11:40:00,АСН-2,24.6
12,2024-03-01 13:00:00,ЭДГ1/2,58.6
13,2024-03-01 13:30:00,АСН-1,41.0
14,2024-03-01 16:00:00,ЭДГ1/1,87.9
15,2024-03-01 16:00:00,КСУ,281.2
16,2024-03-01 19:00:00,ЭДГ1/2,34.8
17,2024-03-01 19:00:00,КСУ,301.5
18,2024-03-02 01:00:00,ЭДГ1/2,35.5
19,2024-03-02 04:00:00,ЭДГ1/1,60.9
20,2024-03-02 05:00:00,БМ,9708.0
21,2024-03-02 07:00:00,ЭДГ1/2,41.0
22,2024-03-02 07:00:00,АСН-1,34.0
23,2024-03-02 10:00:00,ЭДГ1/1,36.3
24,2024-03-02 13:00:00,ЭДГ1/2,21.1
25,2024-03-02 13:10:00,АСН-1,30.5
26,2024-03-02 16:00:00,ЭДГ1/1,37.5
27,2024-03-02 19:00:00,ЭДГ1/2,77.4
28,2024-03-02 21:00:00,БМ СУТ,21678.3
29,2024-03-02 22:00:00,ЭДГ1/1,68.1
30,2024-03-02 22:00:00,АСН 1-8,42.8
31,2024-03-03 01:00:00,ЭДГ1/2,51.2
32,2024-03-03 04:00:00,ЭДГ1/1,34.8
33,2024-03-03 05:00:00,БМ,19652.3
34,2024-03-03 07:00:00,ЭДГ1/2,34.0
35,2024-03-03 07:05:00,АСН-1,30.5
36,2024-03-03 10:00:00,ЭДГ1/1,25.8
37,2024-03-03 13:00:00,ЭДГ1/2,25.8
38,2024-03-03 13:00:00,АСН-1,32.8
39,2024-03-03 16:00:00,ЭДГ1/1,27.0
40,2024-03-03 19:00:00,ЭДГ1/2,35.6
41,2024-03-03 21:00:00,БМ СУТ,16802.1
42,2024-03-03 22:00:00,ЭДГ1/1,36.9
43,2024-03-03 22:00:00,АСН 1-8,24.0
44,2024-03-04 01:00:00,ЭДГ1/2,41.0
45,2024-03-04 04:00:00,ЭДГ1/1,37.5
46,2024-03-04 05:00:00,БМ,11718.0
47,2024-03-04 07:00:00,ЭДГ1/2,23.4
48,2024-03-04 07:10:00,АСН-2,24.6
49,2024-03-04 10:00:00,ЭДГ1/1,29.3
50,2024-03-04 12:50:00,АСН-2,28.1
51,2024-03-04 13:00:00,ЭДГ1/1,24.6
52,2024-03-04 16:00:00,ЭДГ1/1,28.1
53,2024-03-04 19:00:00,ЭДГ1/2,25.5
54,2024-03-04 21:00:00,БМ СУТ,9852.2
55,2024-03-04 22:00:00,ЭДГ1/1,28.1
56,2024-03-04 22:00:00,АСН 1-8,22.8
57,2024-03-05 01:00:00,ЭДГ1/2,28.6
58,2024-03-05 04:00:00,ЭДГ1/1,36.6
59,2024-03-05 05:00:00,БМ,15685.0
60,2024-03-05 07:00:00,ЭДГ1/2,21.1
61,2024-03-05 07:10:00,АСН-2,28.1
62,2024-03-05 10:00:00,ЭДГ1/1,38.7
63,2024-03-05 12:50:00,АСН-1,27.0
64,2024-03-05 13:00:00,ЭДГ1/2,21.7
65,2024-03-05 16:00:00,ЭДГ1/1,29.3
66,2024-03-05 19:00:00,ЭДГ1/2,32.2
67,2024-03-05 21:00:00,БМ СУТ,11254.8
68,2024-03-05 22:00:00,ЭДГ1/1,31.0
69,2024-03-05 22:00:00,АСН 1-8,29.0
70,2024-03-06 01:00:00,ЭДГ1/2,32.5
71,2024-03-06 04:00:00,ЭДГ1/1,41.5
72,2024-03-06 05:00:00,БМ,12458.6
73,2024-03-06 07:00:00,ЭДГ1/2,56.2
74,2024-03-06 07:10:00,АСН-1,28.1
75,2024-03-06 12:50:00,АСН-2,75.0
76,2024-03-06 16:00:00,ЭДГ1/1,117.2
77,2024-03-06 16:30:00,АСН-1,60.9
78,2024-03-06 19:00:00,ЭДГ1/2,128.9
79,2024-03-06 19:40:00,АСН-1,83.2
