Date,BlockP,BlockT,C1P,C1T,C1L,C21P,C21T,C21interfacial_L,С21petrol_L,С22P,С22T,С22interfacial_L,С22petrol_L,OH11P,OH11T,OH11interfacial_L,OH12P,OH12T,OH12interfacial_L,C3T,C3L,P1Tinput,P1Toutput,P1Pinput,P1Poutput,P1Тcoolant,P1Tgases,P1Рburner,P2Tinput,P2Toutput,P2Pinput,P2Poutput,P2Tcoolant,P2Tgases,P2Pburner,P3Tinput,P3Toutput,P3Pinput,P3Poutput,P3Tcoolant,P3Tgases,P3Pburner,Water
2021-05-16 02:00:00,6.6,15.0,5.8,15.0,63.0,2.4,46.0,53.0,76.0,2.4,45.0,52.0,79.0,1.4,40.0,51.0,1.5,43.0,53.0,37.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,45.0,5.2,3.6,53.0,167.0,0.4,16.0,45.0,5.2,3.7,54.0,167.0,0.4,0.567177
2021-05-16 04:00:00,6.3,15.0,5.9,15.0,65.0,2.4,46.0,51.0,75.0,2.4,45.0,52.0,75.0,1.5,40.0,51.0,1.5,43.0,53.0,37.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,45.0,4.6,3.4,54.0,187.0,0.4,16.0,47.0,4.8,3.4,55.0,133.0,0.4,0.571761
2021-05-16 06:00:00,6.7,15.0,5.7,15.0,66.0,2.4,46.0,51.0,75.0,2.4,45.0,52.0,75.0,1.5,40.0,51.0,1.5,43.0,53.0,36.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,49.0,4.6,3.4,56.0,187.0,0.4,16.0,45.0,4.8,3.4,54.0,133.0,0.4,0.572904
2021-05-16 08:00:00,6.6,15.0,6.1,15.0,62.0,2.4,45.0,52.0,75.0,2.4,45.0,51.0,72.0,1.5,40.0,52.0,1.5,43.0,53.0,36.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,45.0,4.6,3.4,54.0,187.0,0.4,16.0,47.0,4.8,3.4,57.0,133.0,0.4,0.558774
2021-05-16 10:00:00,6.5,15.0,5.9,15.0,63.0,2.4,46.0,52.0,77.0,2.4,45.0,52.0,73.0,1.6,41.0,51.0,1.6,44.0,53.0,38.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,46.0,4.5,3.4,55.0,223.0,0.4,16.0,49.0,4.5,3.4,57.0,153.0,0.4,0.572628
2021-05-16 12:00:00,6.6,15.0,5.8,15.0,65.0,2.4,46.0,52.0,74.0,2.4,45.0,52.0,75.0,1.5,42.0,51.0,1.5,44.0,53.0,40.0,7.0,15.0,50.0,4.6,3.4,55.0,238.0,0.4,14.0,48.0,4.6,3.4,57.0,223.0,0.4,16.0,46.0,4.6,3.4,54.0,153.0,0.4,0.562713
2021-05-16 14:00:00,6.4,15.0,5.8,15.0,62.0,2.4,46.0,52.0,75.0,2.4,46.0,52.0,76.0,1.4,43.0,52.0,1.4,44.0,53.0,41.0,7.0,15.0,50.0,4.7,3.4,55.0,238.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,50.0,4.7,3.4,57.0,153.0,0.4,0.562905
2021-05-16 16:00:00,6.4,15.0,5.8,15.0,65.0,2.4,46.0,52.0,74.0,2.4,46.0,51.0,74.0,1.5,43.0,52.0,1.5,44.0,53.0,40.0,7.0,15.0,45.0,4.7,3.4,50.0,238.0,0.4,14.0,41.0,4.7,3.4,50.0,205.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.568341
2021-05-16 18:00:00,6.6,15.0,5.8,15.0,64.0,2.4,44.0,51.0,76.0,2.4,44.0,53.0,74.0,1.5,42.0,52.0,1.5,44.0,53.0,40.0,7.0,15.0,44.0,4.8,3.6,54.0,236.0,0.4,15.0,40.0,4.8,3.6,50.0,193.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.574026
2021-05-16 20:00:00,6.5,15.0,5.7,15.0,66.0,2.4,44.0,51.0,76.0,2.4,44.0,52.0,74.0,1.4,42.0,52.0,1.4,43.0,53.0,40.0,7.0,15.0,44.0,4.8,3.6,54.0,236.0,0.4,15.0,40.0,4.8,3.6,50.0,193.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.563238
2021-05-16 22:00:00,6.6,15.0,5.6,15.0,65.0,2.4,44.0,51.0,76.0,2.4,44.0,52.0,74.0,1.4,42.0,52.0,1.4,43.0,53.0,37.0,7.0,15.0,47.0,4.8,3.6,54.0,236.0,0.4,15.0,44.0,4.8,3.6,54.0,193.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57228
2021-05-17 00:00:00,6.4,15.0,5.9,15.0,68.0,2.3916666666666666,44.0,51.0,73.0,2.4,43.0,51.0,71.0,1.4,39.0,53.0,1.4,43.0,53.166666666666664,36.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,44.0,4.5,3.2,50.0,233.0,0.4,15.0,45.0,4.8,3.3,52.0,103.0,0.4,0.91607
2021-05-17 02:00:00,6.4,15.0,5.7,15.0,63.0,2.4,44.0,51.0,76.0,2.4,44.0,52.0,74.0,1.4,42.0,52.0,1.4,43.0,53.0,37.0,7.0,15.0,46.0,4.8,3.6,53.0,236.0,0.4,15.0,43.0,4.8,3.6,52.0,193.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.933645
