Date,BlockP,BlockT,C1P,C1T,C1L,C2P,C2T,C2interfacial_L,С2petrol_L,OH1T,OH1interfacial_L,OH1P,C3T,C3L,P1Tinput,P1Toutput,P1Pinput,P1Poutput,P1Тcoolant,P1Tgases,P1Рburner,P2Tinput,P2Toutput,P2Pinput,P2Poutput,P2Tcoolant,P2Tgases,P2Pburner,BEV1L,BEV1V_water,BEV1V_petrol,BEV1T_water,Water,Vlagomer
2022-01-01 00:00:00,5.5,14,5.4,14.0,66,3.0,58.0,53.0,73,0.8,52.0,53.0,42.0,8,13.0,57.0,3.3,3.1,62.0,263.8,0.4,14.0,58.0,3.3,3.1,62.0,127.7,0.4,150.0,50.786,0,35,0.8578079999999995,0.13
2022-01-01 02:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,43.0,8,13.0,58.0,3.3,3.1,62.0,259.8,0.4,13.0,61.0,3.3,3.1,62.0,129.1,0.4,165.0,57.258,0,35,0.7598080000000003,0.15
2022-01-01 04:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,43.0,8,13.0,58.0,3.3,3.1,62.0,266.3,0.4,13.0,61.0,3.3,3.1,62.0,128.7,0.4,177.0,62.391,0,35,0.8214639999999997,0.14
2022-01-01 06:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,43.0,8,13.0,58.0,3.3,3.1,62.0,266.4,0.4,13.0,61.0,3.3,3.1,62.0,130.0,0.4,193.0,69.112,0,35,0.801514,0.13
2022-01-01 08:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,43.0,8,13.0,58.0,3.3,3.1,62.0,266.4,0.4,13.0,61.0,3.3,3.1,62.0,130.0,0.4,83.0,22.827,0,35,0.7902020000000002,0.12
2022-01-01 10:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,43.0,8,13.0,58.0,3.3,3.1,62.0,260.0,0.4,13.0,61.0,3.3,3.1,62.0,135.0,0.4,102.0,30.403,0,35,0.835576,0.1
2022-01-01 12:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,43.0,8,13.0,58.0,3.3,3.1,62.0,260.0,0.4,13.0,61.0,3.3,3.1,62.0,135.0,0.4,119.0,37.486,0,35,0.8123639999999993,0.11
2022-01-01 14:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,43.0,8,13.0,58.0,3.3,3.1,62.0,222.0,0.4,13.0,61.0,3.3,3.1,62.0,133.0,0.4,140.0,46.468,0,35,0.8027740000000003,0.1
2022-01-01 16:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,43.0,8,13.0,58.0,3.3,3.1,62.0,222.0,0.4,13.0,61.0,3.3,3.1,62.0,133.0,0.4,155.0,52.947,0,35,0.820848,0.1
2022-01-01 18:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,43.0,8,13.0,58.0,3.3,3.1,62.0,222.0,0.4,13.0,61.0,3.3,3.1,62.0,133.0,0.4,173.0,60.687,0,35,0.8110759999999999,0.14
2022-01-01 20:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,43.0,8,13.0,58.0,3.3,3.1,62.0,253.2,0.4,13.0,61.0,3.3,3.1,62.0,128.1,0.4,195.0,69.938,0,35,0.8139039999999998,0.15
2022-01-02 00:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,43.0,8,13.0,58.0,3.3,3.1,62.0,149.0,0.4,13.0,61.0,3.3,3.1,62.0,217.8,0.4,99.0,29.18,0,35,0.7908319999999995,0.15
2022-01-02 02:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,131.7,0.4,13.0,61.0,3.3,3.1,62.0,133.4,0.4,119.0,37.486,0,35,0.3402600000000002,0.15
2022-01-02 04:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,131.7,0.4,13.0,61.0,3.3,3.1,62.0,133.4,0.4,137.0,45.176,0,35,0.3440159999999999,0.13
2022-01-02 06:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,255.1,0.4,13.0,61.0,3.3,3.1,62.0,125.4,0.4,157.0,53.81,0,35,0.3522119999999999,0.14
2022-01-02 08:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,138.6,0.4,13.0,61.0,3.3,3.1,62.0,239.2,0.4,174.0,61.114,0,35,0.3563280000000002,0.15
2022-01-02 10:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,138.6,0.4,13.0,61.0,3.3,3.1,62.0,239.2,0.4,72.0,18.667,0,35,0.34515,0.15
2022-01-02 12:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,138.6,0.4,13.0,61.0,3.3,3.1,62.0,239.2,0.4,99.0,29.18,0,35,0.3424799999999995,0.15
2022-01-02 14:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,260.1,0.4,13.0,61.0,3.3,3.1,62.0,125.7,0.4,121.0,38.333,0,35,0.337266,0.15
2022-01-02 16:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,260.1,0.4,13.0,61.0,3.3,3.1,62.0,125.7,0.4,141.0,46.899,0,35,0.3775620000000003,0.15
2022-01-02 18:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,260.1,0.4,13.0,61.0,3.3,3.1,62.0,125.7,0.4,163.0,56.397,0,35,0.3440219999999996,0.15
2022-01-02 20:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,144.6,0.4,13.0,61.0,3.3,3.1,62.0,127.5,0.4,184.0,65.353,0,35,0.3582240000000003,0.14
2022-01-03 00:00:00,5.6,13,5.2,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,250.6,0.4,13.0,61.0,3.3,3.1,62.0,244.2,0.4,98.0,28.774,0,35,0.3467460000000002,0.14
2022-01-03 02:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,245.2,0.4,13.0,61.0,3.3,3.1,62.0,127.2,0.4,122.0,38.757,0,35,0.2324959999999998,0.14
2022-01-03 04:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,165.1,0.4,13.0,61.0,3.3,3.1,62.0,126.7,0.4,144.0,48.194,0,35,0.2372039999999999,0.14
2022-01-03 06:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,226.7,0.4,13.0,61.0,3.3,3.1,62.0,124.8,0.4,166.0,57.688,0,35,0.2396319999999999,0.14
2022-01-03 08:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,227.0,0.4,13.0,61.0,3.3,3.1,62.0,125.0,0.4,88.0,24.777,0,35,0.2277080000000002,0.14
2022-01-03 10:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,227.0,0.4,13.0,61.0,3.3,3.1,62.0,125.0,0.4,110.0,33.708,0,35,0.2310439999999999,0.12
2022-01-03 12:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,227.0,0.4,13.0,61.0,3.3,3.1,62.0,125.0,0.4,134.0,43.885,0,35,0.2316839999999999,0.12
2022-01-03 14:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,227.0,0.4,13.0,61.0,3.3,3.1,62.0,125.0,0.4,158.0,54.242,0,35,0.23852,0.15
2022-01-03 16:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,227.0,0.4,13.0,61.0,3.3,3.1,62.0,125.0,0.4,179.0,63.24,0,35,0.2238000000000001,0.14
2022-01-03 18:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,227.0,0.4,13.0,61.0,3.3,3.1,62.0,125.0,0.4,108.0,32.877,0,35,0.232428,0.14
2022-01-03 20:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,180.4,0.4,13.0,61.0,3.3,3.1,62.0,127.0,0.4,131.0,42.598,0,35,0.2266759999999998,0.13
2022-01-04 00:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,158.1,0.4,13.0,61.0,3.3,3.1,62.0,198.3,0.4,177.0,62.391,0,35,0.237424,0.13
2022-01-04 02:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,123.1,0.4,13.0,61.0,3.3,3.1,62.0,207.4,0.4,201.0,72.394,0,35,0.3577559999999998,0.15
2022-01-04 04:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,251.0,0.4,13.0,61.0,3.3,3.1,62.0,137.0,0.4,103.0,30.813,0,35,0.3417240000000001,0.15
2022-01-04 06:00:00,5.6,13,5.4,13.0,65,3.0,58.0,54.0,73,0.8,55.0,53.0,45.0,8,13.0,58.0,3.3,3.1,62.0,251.0,0.4,13.0,61.0,3.3,3.1,62.0,137.0,0.4,124.0,39.607,0,35,0.3531959999999998,0.15
2022-01-04 08:00:00,5.5,13,5.3,12.0,65,3.0,57.0,54.0,73,1.0,53.0,53.0,44.0,8,13.0,50.0,3.5,3.3,60.0,225.0,0.4,13.0,58.0,3.5,3.2,61.0,243.0,0.4,146.0,49.058,0,35,0.3489059999999997,0.14
2022-01-04 10:00:00,5.5,13,5.3,12.0,65,3.0,57.0,54.0,73,1.0,53.0,53.0,44.0,8,13.0,58.0,3.5,3.2,60.0,208.0,0.4,13.0,52.0,3.4,3.2,60.0,131.0,0.4,168.0,58.546,0,35,0.3620580000000002,0.14
