YY-MM-DD HH:00,Год,Месяц,День,Час,Блок манифольда|P бм |кгс/см²,Блок манифольда|t жидкости|°С,С-1|P сеп.|кгс/см²,С-1|t жидкости|°С,С-1|L жидкости|см,С-2/1|P сеп. |кгс/см²,С-2/1|t жидкости|°С,С-2/1|L межфазный|см,С-2/1|L нефти|см,С-2/2|P сеп. |кгс/см²,С-2/2|t жидкости|°С,С-2/2|L межфазный|см,С-2/2|L нефти|см,ОН-1/1|P отс. |кгс/см²,ОН-1/1|t жидкости|°С,ОН-1/1|L межфазный|см,ОН-1/2|P отс. |кгс/см²,ОН-1/2|t жидкости|°С,ОН-1/2|L  межфазный|см,С-3|t жидкости|°С,С-3|L нефти|см,П-1|Т нефти на входе|°С,П-1|Т нефти на выходе|°С,П-1|Р нефти на входе|кгс/см²,П-1|Р нефти на выходе|кгс/см²,П-1|Т теплоно-сителя|°С,П-1|Т дымовых газов|°С,П-1|Р на горелку|кгс/см2,П-2|Т нефти на входе|°С,П-2|Т нефти на выходе|°С,П-2|Р нефти на входе|кгс/см²,П-2|Р нефти на выходе|кгс/см²,П-2|Т теплоно-сителя|°С,П-2|Т дымовых газов|°С,П-2|Р на горелку|кгс/см3,П-3|Т нефти на входе|°С,П-3|Т нефти на выходе|°С,П-3|Р нефти на входе|кгс/см²,П-3|Р нефти на выходе|кгс/см²,П-3|Т теплоно-сителя|°С,П-3|Т дымовых газов|°С,П-3|Р на горелку|кгс/см4,Добыча воды за 2 ч |м3 лаг:(-1),П-123max|Р нефти на выходе|кгс/см²,П-123max|Р нефти на входе|кгс/см²,П-123median|Т нефти на выходе|кгс/см²,П-123median|Т теплоно-сителя|кгс/см²
2021-01-01 00:00,2021,1,1,0,7.3,15.0,6.4,14.0,73.0,3.3,59.0,54.0,80.0,3.3,59.0,54.0,79.0,2.4,50.0,54.0,2.4,58.0,54.0,56.0,90.0,14.0,61.0,5.4,4.6,69.0,246.0,0.4,14.0,64.0,5.4,4.6,74.0,254.0,0.4,14.0,55.0,5.2,4.4,62.0,204.0,0.4,0.649000000000001,4.6,5.4,61.0,74.0
2021-01-01 20:00,2021,1,1,20,6.8,14.0,5.9,14.0,76.0,3.4,63.0,53.0,81.0,3.3,62.0,54.0,98.0,2.2,51.0,54.0,2.2,60.0,53.0,59.0,84.0,14.0,65.0,5.4,4.6,72.0,248.0,0.4,14.0,67.0,5.3,5.3,75.0,256.0,0.4,14.0,58.0,5.1,4.1,66.0,205.0,0.4,0.985000000000014,5.3,5.4,65.0,75.0
2021-01-01 22:00,2021,1,1,22,7.5,15.0,6.2,14.0,75.0,3.3,61.0,54.0,80.0,3.3,60.0,54.0,80.0,2.4,49.0,54.0,2.4,59.0,53.0,58.0,85.0,14.0,63.0,6.0,4.8,69.0,246.0,0.4,14.0,65.0,6.0,5.0,74.0,254.0,0.4,14.0,57.0,5.9,5.0,64.0,203.0,0.4,0.888999999999989,5.0,6.0,63.0,74.0
2021-01-02 00:00,2021,1,2,0,7.0,15.0,6.2,15.0,75.0,3.3,58.0,54.0,80.0,3.3,58.0,54.0,81.0,2.3,47.0,54.0,2.3,57.0,54.0,55.0,85.0,15.0,59.0,5.9,4.8,68.0,245.0,0.4,14.0,65.0,5.9,4.9,74.0,254.0,0.4,15.0,55.0,5.8,4.9,63.0,203.0,0.4,1.94200000000001,4.9,5.9,59.0,74.0
2021-01-02 02:00,2021,1,2,2,7.5,15.0,6.5,14.0,73.0,3.3,58.0,54.0,79.0,3.3,58.0,54.0,78.0,2.4,49.0,54.0,2.4,57.0,54.0,55.0,90.0,14.0,62.0,5.0,4.1,69.0,245.0,0.4,14.0,65.0,5.0,4.3,73.0,255.0,0.4,14.0,55.0,5.2,4.4,63.0,209.0,0.4,0.897999999999996,4.4,5.2,62.0,73.0
2021-01-02 04:00,2021,1,2,4,7.5,15.0,6.6,14.0,73.0,3.3,58.0,54.0,80.0,3.3,58.0,54.0,81.0,2.4,48.0,54.0,2.4,56.0,54.0,55.0,93.0,14.0,61.0,5.9,4.9,68.0,247.0,0.4,14.0,63.0,6.0,4.8,72.0,255.0,0.4,14.0,54.0,5.9,4.8,61.0,204.0,0.4,0.425000000000011,4.9,6.0,61.0,72.0
2021-01-02 06:00,2021,1,2,6,7.4,15.0,6.7,14.0,72.0,3.3,58.0,54.0,79.0,3.3,58.0,54.0,80.0,2.4,49.0,54.0,2.4,56.0,54.0,55.0,93.0,14.0,61.0,5.6,4.7,68.0,247.0,0.4,14.0,63.0,5.6,4.8,72.0,254.0,0.4,14.0,54.0,5.4,4.6,61.0,205.0,0.4,0.527000000000001,4.8,5.6,61.0,72.0
2021-01-02 08:00,2021,1,2,8,7.5,15.0,6.7,14.0,73.0,3.3,58.0,54.0,82.0,3.3,58.0,54.0,81.0,2.4,46.0,54.0,2.4,56.0,54.0,54.0,90.0,14.0,61.0,5.2,4.2,68.0,246.0,0.4,14.0,64.0,5.4,4.4,72.0,255.0,0.4,14.0,55.0,5.7,4.5,61.0,204.0,0.4,3.97499999999999,4.5,5.7,61.0,72.0
2021-01-02 10:00,2021,1,2,10,7.4,15.0,6.2,14.0,70.0,3.3,59.0,52.0,84.0,3.3,58.0,54.0,79.0,2.2,50.0,54.0,2.2,56.0,54.0,55.0,93.0,14.0,64.0,5.6,4.4,70.0,247.0,0.4,14.0,65.0,5.7,4.7,74.0,256.0,0.4,14.0,55.0,5.8,4.8,62.0,205.0,0.4,0.128199999999996,4.8,5.8,64.0,74.0
2021-01-02 12:00,2021,1,2,12,6.8,15.0,6.0,14.0,80.0,3.3,58.0,53.0,80.0,3.3,58.0,51.0,79.0,2.4,49.0,51.0,2.4,56.0,49.0,54.0,84.0,14.0,60.0,5.9,4.7,68.0,246.0,0.4,14.0,65.0,5.8,4.9,74.0,256.0,0.4,14.0,54.0,5.8,4.9,62.0,204.0,0.4,0.333799999999997,4.9,5.9,60.0,74.0
