YY-MM-DD HH:00,Место отбора,"Сод. Cl соед., мг/дм3","Сод. воды, % масс "
2021-01-01 02:00,КСУ БЕН-4,105.8,0.26
2021-01-01 04:00,КСУ БЕН 8,105.8,0.26
2021-01-01 06:00,КСУ БЕН 2,105.8,0.3
2021-01-01 08:00,КСУ БЕН 6,110.8,0.3
2021-01-01 10:00,КСУ БЕН1,110.8,0.3
2021-01-01 12:00,КСУ БЕН -4,126.6,0.3
2021-01-01 14:00,КСУ БЕН 6,126.6,0.4
2021-01-01 16:00,КСУ БЕН 9,67.8,0.4
2021-01-01 18:00,КСУ БЕН -3,67.8,0.24
2021-01-01 20:00,КСУ БЕН-5,126.7,0.24
2021-01-01 22:00,КСУ БЕН-9,126.7,0.27
2021-01-02 00:00,КСУ БЕН-3,174.6,0.27
2021-01-02 02:00,КСУ БЕН-6,174.6,0.27
2021-01-02 04:00,КСУ БЕН-1,172.8,0.27
2021-01-02 06:00,КСУ БЕН-5,172.8,0.3
2021-01-02 08:00,КСУ БЕН 8,176.8,0.3
2021-01-02 10:00,КСУ БЕН-3,176.8,0.3
2021-01-02 12:00,КСУ БЕН 6,204.4,0.3
2021-01-02 14:00,КСУ БЕН-1,243.3,0.2
2021-01-02 16:00,КСУ БЕН 4,218.6,0.2
2021-01-02 18:00,КСУ БЕН 8,218.6,0.3
2021-01-02 20:00,КСУ БЕН-2,204.7,0.3
2021-01-02 22:00,КСУ БЕН-6,204.7,0.4
2021-01-03 00:00,КСУ БЕН-9,211.6,0.4
2021-01-03 02:00,КСУ БЕН-4,211.6,0.4
2021-01-03 04:00,КСУ БЕН-7,229.3,0.4
2021-01-03 06:00,КСУ БЕН-2,229.3,0.4
2021-01-03 08:00,КСУ БЕН-7,204.7,0.4
2021-01-03 10:00,КСУ БЕН 9,233.1,0.27
2021-01-03 12:00,КСУ БЕН 4,190.1,0.3
2021-01-03 14:00,КСУ БЕН-7,203.1,0.3
2021-01-03 16:00,КСУ БЕН 2,160.3,0.3
2021-01-03 18:00,КСУ БЕН 5,209.7,0.4
2021-01-03 20:00,КСУ БЕН 9,180.5,0.4
2021-01-03 22:00,КСУ БЕН 3,180.5,0.2
2021-01-04 00:00,КСУ БЕН-7,202.2,0.2
2021-01-04 02:00,КСУ БЕН-2,202.2,0.4
2021-01-04 04:00,КСУ БЕН-5,181.3,0.4
2021-01-04 06:00,КСУ БЕН 9,181.3,0.3
2021-01-04 08:00,КСУ БЕН-3,290,0.3
2021-01-04 10:00,КСУ БЕН 7,199.8,0.3
2021-01-04 12:00,КСУ БЕН 2,199.8,0.3
2021-01-04 14:00,КСУ БЕН 5,185.4,0.3
2021-01-04 16:00,КСУ БЕН 9,191.1,0.3
2021-01-04 18:00,КСУ БЕН 3,173.8,0.3
2021-01-04 20:00,КСУ БЕН-7,174.8,0.3
2021-01-04 22:00,КСУ БЕН-1,174.8,0.3
2021-01-05 00:00,КСУ БЕН-5,199.8,0.3
2021-01-05 02:00,КСУ БЕН-9,199.8,0.3
2021-01-05 04:00,КСУ БЕН-3,178.8,0.3
2021-01-05 06:00,КСУ БЕН-7,178.8,0.3
2021-01-05 08:00,КСУ БЕН 1,200.6,0.3
2021-01-05 10:00,КСУ БЕН 5,177,0.3
2021-01-05 12:00,КСУ  БЕН 9,165.3,0.3
2021-01-05 14:00,КСУ БЕН 3,168.4,0.3
2021-01-05 16:00,КСУ БЕН 7,168.4,0.23
2021-01-05 18:00,КСУ БЕН1,176.8,0.23
2021-01-05 20:00,КСУ БЕН-5,176.8,0.3
2021-01-05 22:00,КСУ БЕН-8,176.8,0.4
2021-01-06 00:00,КСУ БЕН-3 ,192.4,0.4
2021-01-06 02:00,КСУ БЕН-6,192.4,0.27
2021-01-06 04:00,КСУ БЕН-1,190.7,0.27
2021-01-06 06:00,КСУ БЕН-5,190.7,0.21
2021-01-06 08:00,КСУ БЕН 8,185.6,0.21
2021-01-06 10:00,КСУ БЕН 3,185.6,0.3
2021-01-06 12:00,КСУ БЕН 7,163.9,0.3
2021-01-06 14:00,КСУ БЕН 1,140,0.27
2021-01-06 16:00,КСУ БЕН 5,140,0.3
2021-01-06 18:00,КСУ БЕН 8,155.1,0.3
2021-01-06 20:00,КСУ БЕН-2,155.1,0.24
2021-01-06 22:00,КСУ БЕН-6,181.4,0.24
2021-01-07 00:00,КСУ БЕН-1,181.4,0.3
2021-01-07 02:00,КСУ БЕН-4,179,0.3
2021-01-07 04:00,КСУ БЕН-7,179,0.27
2021-01-07 06:00,КСУ БЕН-2,175.8,0.27
2021-01-07 08:00,КСУ БЕН 5,175.8,0.3
2021-01-07 10:00,КСУ БЕН 1,168.1,0.3
2021-01-07 12:00,КСУ БЕН  5,168.1,0.4
2021-01-07 14:00,КСУ БЕН 8,173.3,0.21
