,Дата,Блок манифольда|P бм  |кгс/см²,Блок манифольда|t жидкости| °С,С-1|P сеп. |кгс/см²,С-1|t жидкости |°С,С-1|L жидкости| см,С-2|P сеп. |кгс/см²,С-2|t жидкости|°С,С-2|L межфазный|см,С-2|L нефти|см,ОН-1|t жидкости|°С,ОН-1|L межфазный|см,ОН-1|P отс. |кгс/см²,С-3|t жидкости|°С,С-3|L нефти|см,П-1|Т нефти на входе|°С,П-1|Т нефти на выходе|°С,П-1|Р нефти на входе|кгс/см²,П-1|Р нефти на выходе|кгс/см²,П-1|Т теплоно-сителя|°С,П-1|Т дымовых газов|°С,П-1|Р на горелку|кгс/см2,П-2|Т нефти на входе|°С,П-2|Т нефти на выходе|°С,П-2|Р нефти на входе|кгс/см²,П-2|Р нефти на выходе|кгс/см²,П-2|Т теплоно-сителя|°С,П-2|Т дымовых газов|°С,П-2|Р на горелку|кгс/см3,БЕВ-1|L воды|см,БЕВ-1|V воды|м3,БЕВ-1|V нефти,БЕВ-1|t воды
0,2022-01-01 00:00:00,5.5,14,5.4,14,66,3,58,53,73,0.8,52,53,42,8,13,57,3.3,3.1,62,263.8,0.4,14,58,3.3,3.1,62,127.7,0.4,150,50.786,0,35
1,2022-01-01 02:00:00,5.6,13,5.4,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,259.8,0.4,13,61,3.3,3.1,62,129.1,0.4,165,57.258,0,35
2,2022-01-01 04:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,266.3,0.4,13,61,3.3,3.1,62,128.7,0.4,177,62.391,0,35
3,2022-01-01 06:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,266.4,0.4,13,61,3.3,3.1,62,130,0.4,193,69.112,0,35
4,2022-01-01 08:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,266.4,0.4,13,61,3.3,3.1,62,130,0.4,83,22.827,0,35
5,2022-01-01 10:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,260,0.4,13,61,3.3,3.1,62,135,0.4,102,30.403,0,35
6,2022-01-01 12:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,260,0.4,13,61,3.3,3.1,62,135,0.4,119,37.486,0,35
7,2022-01-01 14:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,222,0.4,13,61,3.3,3.1,62,133,0.4,140,46.468,0,35
8,2022-01-01 16:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,222,0.4,13,61,3.3,3.1,62,133,0.4,155,52.947,0,35
9,2022-01-01 18:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,222,0.4,13,61,3.3,3.1,62,133,0.4,173,60.687,0,35
