Дата,Добыча воды за 2ч,Показания влагомера
2023-02-14 00:00:00,,0.12
2023-02-14 02:00:00,,0.15
2023-02-14 04:00:00,,0.15
2023-02-14 06:00:00,,0.15
2023-02-14 08:00:00,,0.11
2023-02-14 10:00:00,,0.12
2023-02-14 12:00:00,,0.12
2023-02-14 14:00:00,,0.11
2023-02-14 16:00:00,,0.12
2023-02-14 18:00:00,,0.13
2023-02-14 20:00:00,,0.13
2023-02-14 22:00:00,,0.15
2023-02-15 00:00:00,,0.12
2023-02-15 02:00:00,,0.1
2023-02-15 04:00:00,,0.12
2023-02-15 06:00:00,,0.1
2023-02-15 08:00:00,,0.09
2023-02-15 10:00:00,,0.08
2023-02-15 12:00:00,,0.08
2023-02-15 14:00:00,,0.08
2023-02-15 16:00:00,,0.08
2023-02-15 18:00:00,,0.07
2023-02-15 20:00:00,,0.08
2023-02-15 22:00:00,,0.1
2023-02-16 00:00:00,,0.12
2023-02-16 02:00:00,,0.11
2023-02-16 04:00:00,,0.11
2023-02-16 06:00:00,,0.11
2023-02-16 08:00:00,,0.11
2023-02-16 10:00:00,,0.15
2023-02-16 12:00:00,,0.1
2023-02-16 14:00:00,,0.09
2023-02-16 16:00:00,,0.1
2023-02-16 18:00:00,,0.1
2023-02-16 20:00:00,,0.1
2023-02-16 22:00:00,,0.11
2023-02-17 00:00:00,,0.13
2023-02-17 02:00:00,,0.15
2023-02-17 04:00:00,,0.15
2023-02-17 06:00:00,,0.14
2023-02-17 08:00:00,,0.09
2023-02-17 10:00:00,,0.09
2023-02-17 12:00:00,,0.08
2023-02-17 14:00:00,,0.08
2023-02-17 16:00:00,,0.1
2023-02-17 18:00:00,,0.1
2023-02-17 20:00:00,,0.18
2023-02-17 22:00:00,,0.18
2023-02-18 00:00:00,,0.15
2023-02-18 02:00:00,,0.15
2023-02-18 04:00:00,,0.13
2023-02-18 06:00:00,,0.13
2023-02-18 08:00:00,,0.13
2023-02-18 10:00:00,,0.12
2023-02-18 12:00:00,,0.11
2023-02-18 14:00:00,,0.09
2023-02-18 16:00:00,,0.08
2023-02-18 18:00:00,,0.08
2023-02-18 20:00:00,,0.1
2023-02-18 22:00:00,,0.12
2023-02-19 00:00:00,,0.12
2023-02-19 02:00:00,,0.15
2023-02-19 04:00:00,,0.15
2023-02-19 06:00:00,,0.15
2023-02-19 08:00:00,,0.14
2023-02-19 10:00:00,,0.14
2023-02-19 12:00:00,,0.13
2023-02-19 14:00:00,,0.13
