Дата,Добыча воды за 2ч,Показания влагомера
2023-01-28 00:00:00,165,166
2023-01-28 02:00:00,212,101
2023-01-28 04:00:00,132,226
2023-01-28 06:00:00,128,118
2023-01-28 08:00:00,229,230
2023-01-28 10:00:00,135,4.7
2023-01-28 12:00:00,136.1,4.7
2023-01-28 14:00:00,118.7,4.6
2023-01-28 16:00:00,122.5,4.6
2023-01-28 18:00:00,132.4,4.6
20:00:00,261.2,4.6
22:00:00,124.5,4.6
00:00:00,128.5,4.6
2023-01-29 10:00:00,127.6,4.5
2023-01-29 12:00:00,149.4,4.6
2023-01-29 14:00:00,122.2,4.6
2023-01-29 16:00:00,127.1,4.6
2023-01-29 18:00:00,117,4.6
2023-01-29 20:00:00,119.2,4.6
2023-01-29 22:00:00,130.8,4.6
2023-01-29 00:00:00,255.1,4.6
2023-01-30 12:00:00,123.2,4.5
2023-01-30 14:00:00,143.3,4.8
2023-01-30 16:00:00,120.2,4.6
2023-01-30 18:00:00,124.3,4.6
2023-01-30 20:00:00,127.1,4.6
2023-01-30 22:00:00,259.1,4.6
2023-01-30 00:00:00,125.1,4.6
Дата/Время мск,БЕН-5,БЕН-6
,см,см
2023-01-31 00:00:00,70,70
2023-01-30 02:00:00,186,70
