Дата,Блок манифольда|P бм  |кгс/см²,Блок манифольда|t жидкости| °С,С-1|P сеп. |кгс/см²,С-1|t жидкости |°С,С-1|L жидкости| см,С-2/1|P сеп. |кгс/см²,С-2/1|t жидкости|°С,С-2/1|L межфазный|см,С-2/1|L нефти|см,С-2/2|P сеп. |кгс/см²,С-2/2|t жидкости|°С,С-2/2|L межфазный|см,С-2/2|L нефти|см,ОН-1/1|P отс. |кгс/см²,ОН-1/1|t жидкости|°С,ОН-1/1|L межфазный|см,ОН-1/2|P отс. |кгс/см²,ОН-1/2|t жидкости|°С,ОН-1/2|L  межфазный|см,С-3|t жидкости|°С,С-3|L нефти|см,П-1|Т нефти на входе|°С,П-1|Т нефти на выходе|°С,П-1|Р нефти на входе|кгс/см²,П-1|Р нефти на выходе|кгс/см²,П-1|Т теплоно-сителя|°С,П-1|Т дымовых газов|°С,П-1|Р на горелку|кгс/см2,П-2|Т нефти на входе|°С,П-2|Т нефти на выходе|°С,П-2|Р нефти на входе|кгс/см²,П-2|Р нефти на выходе|кгс/см²,П-2|Т теплоно-сителя|°С,П-2|Т дымовых газов|°С,П-2|Р на горелку|кгс/см3,П-3|Т нефти на входе|°С,П-3|Т нефти на выходе|°С,П-3|Р нефти на входе|кгс/см²,П-3|Р нефти на выходе|кгс/см²,П-3|Т теплоно-сителя|°С,П-3|Т дымовых газов|°С,П-3|Р на горелку|кгс/см4,Добыча воды за 2 ч,"Добыча воды за 2 ч, расч","Добыча воды за 2 ч, расч, по ТОРам"
2023-01-01 00:00:00,6.8,15,6.3,13,63,4,49,52,75,4,48,54,75,2,39,53,2,44,53,38,32,15,50.8,5.9,4.9,63.3,282.2,0.19,14.9,54.8,5.9,5,63,165.6,0.28,15.6,57.9,5.9,5,64.3,223.5,0.21,,4.193999999999999,5.044000000000002
2023-01-01 02:00:00,6.6,15,6.1,13,61,4,49,61,74,4,48,55,74,2,39,54,2,41,53,38,32,15.1,49.6,5.9,4.9,62,282.9,0.19,14.9,52.2,5.9,4.9,60,142.3,0.28,15.6,55.4,5.9,4.9,61.9,144.5,0.21,8.220746000000005,2.9029999999999916,1.8429999999999964
2023-01-01 04:00:00,6.5,15,6,13,62,4,49,56,75,4,48,59,73,2,38,54,2,37,53,39,32,15.2,49.7,5.9,4.9,62.4,284.4,0.19,15,56.7,5.9,4.9,64.6,198.9,0.28,15.6,54.6,5.9,4.9,61,290.4,0.21,7.8963810000000025,9.636000000000003,10.446000000000014
2023-01-01 06:00:00,6.8,15,6.2,13,61,4,49,53,76,4,48,55,76,2,38,55,2,36,54,38,32,15.2,50.4,5.9,4.9,63.7,284.8,0.19,15,55.1,5.9,4.9,63.4,169.2,0.28,15.5,54.1,5.9,4.9,60.8,288.8,0.21,8.152161000000001,11.62700000000001,5.857000000000006
2023-01-01 08:00:00,6.7,15,6.3,15,65,4,49,57,75,4,48,57,75,2,38,55,2,36,54,40,32,15.2,49.4,5.9,4.9,62.3,284.1,0.19,15,54.3,6,5,62.2,158.1,0.28,15.7,54.3,6,5,60.7,289.8,0.21,8.092304999999996,6.645000000000003,6.034999999999997
2023-01-01 10:00:00,6.9,15,6.1,13,61,4,48,57,75,4,48,52,76,2,38,55,2,36,54,41,32,15.2,50.2,5.9,4.9,62.8,284.8,0.19,15,56.9,6,5,64.6,204.9,0.28,15.7,56.1,6,5,62.6,155.2,0.21,8.055156000000004,12.723000000000006,13.433
2023-01-01 12:00:00,6.6,15,6.1,14,63,4,48,60,74,4,48,58,74,1.7,38,54,1.8,36,54,41,32,15.2,50.3,5.9,4.9,62.1,282.7,0.19,15,56.6,6,5,64.4,191.2,0.28,15.7,58.2,6,5,64.2,196.1,0.21,8.072642999999998,10.856999999999985,11.656999999999979
2023-01-01 14:00:00,6.8,15,6.3,14,63,4,48,62,74,4,49,57,74,1.8,38,55,1.8,38,54,41,32,15.2,49.2,5.9,4.9,60.9,180.6,0.19,15,56.1,6,5,62.3,316.1,0.28,15.7,56.4,6,5,61.9,297.2,0.21,8.08665,4.4280000000000115,6.128000000000014
2023-01-01 16:00:00,6.8,15,6.1,14,64,4,48,64,75,4,49,59,75,2,38,55,2,38,54,41,32,15.2,47.2,5.9,4.9,60.5,274.3,0.19,15,55.4,6,5,63.2,167.3,0.28,15.7,56.2,6,5,62.7,300.8,0.21,8.225676,7.632999999999996,7.712999999999999
2023-01-01 18:00:00,6.6,15,6,14,60,4,49,60,75,4,48,61,74,2,38,55,2,38,54,41,32,15.2,49.9,5.9,4.9,62.4,282.4,0.19,15,55.5,6,5,"62,,4",315.1,0.28,15.7,54.1,6,5,60.5,132.7,0.21,8.120754,1.9869999999999948,-1.7330000000000059
